,Modelled_0,Modelled_1,max,min
0,0.3212839365005493,0.31515172123908997,0.3212839365005493,0.31515172123908997
1,0.21288684010505676,0.21231265366077423,0.21288684010505676,0.21231265366077423
2,0.20641830563545227,0.20606599748134613,0.20641830563545227,0.20606599748134613
3,0.20372511446475983,0.20196637511253357,0.20372511446475983,0.20196637511253357
4,0.20192848145961761,0.20129936933517456,0.20192848145961761,0.20129936933517456
5,0.19975271821022034,0.1992845982313156,0.19975271821022034,0.1992845982313156
6,0.19831536710262299,0.1975756138563156,0.19831536710262299,0.1975756138563156
7,0.19786489009857178,0.19528716802597046,0.19786489009857178,0.19528716802597046
8,0.19509688019752502,0.19622252881526947,0.19622252881526947,0.19509688019752502
9,0.1951374113559723,0.1935388594865799,0.1951374113559723,0.1935388594865799
10,0.19265525043010712,0.19369427859783173,0.19369427859783173,0.19265525043010712
11,0.1937195211648941,0.1923407018184662,0.1937195211648941,0.1923407018184662
12,0.19162370264530182,0.19419647753238678,0.19419647753238678,0.19162370264530182
13,0.19111940264701843,0.19128073751926422,0.19128073751926422,0.19111940264701843
14,0.191102534532547,0.1922982633113861,0.1922982633113861,0.191102534532547
15,0.19132521748542786,0.19165509939193726,0.19165509939193726,0.19132521748542786
16,0.18985797464847565,0.18935947120189667,0.18985797464847565,0.18935947120189667
17,0.18980732560157776,0.19048528373241425,0.19048528373241425,0.18980732560157776
18,0.1881553828716278,0.18908873200416565,0.18908873200416565,0.1881553828716278
19,0.18858212232589722,,0.18858212232589722,0.18858212232589722
20,0.18937639892101288,,0.18937639892101288,0.18937639892101288
21,0.18740180134773254,,0.18740180134773254,0.18740180134773254
22,0.18802717328071594,,0.18802717328071594,0.18802717328071594
23,0.1872076541185379,,0.1872076541185379,0.1872076541185379
