,Modelled_0,Modelled_1,max,min
0,0.192521333694458,0.21189534664154053,0.21189534664154053,0.192521333694458
1,0.10129157453775406,0.08913632482290268,0.10129157453775406,0.08913632482290268
2,0.08264370262622833,0.07423772662878036,0.08264370262622833,0.07423772662878036
3,0.06798858940601349,0.06229426711797714,0.06798858940601349,0.06229426711797714
4,0.056896455585956573,0.052719179540872574,0.056896455585956573,0.052719179540872574
5,0.047938525676727295,0.04509320110082626,0.047938525676727295,0.04509320110082626
6,0.040567487478256226,0.038835033774375916,0.040567487478256226,0.038835033774375916
7,0.03470214456319809,0.033585868775844574,0.03470214456319809,0.033585868775844574
8,0.030017919838428497,0.02942075952887535,0.030017919838428497,0.02942075952887535
9,0.02608233131468296,0.02597356215119362,0.02608233131468296,0.02597356215119362
10,0.0228938739746809,0.023115459829568863,0.023115459829568863,0.0228938739746809
11,0.02016802318394184,0.02060387283563614,0.02060387283563614,0.02016802318394184
12,0.01788201555609703,0.018480520695447922,0.018480520695447922,0.01788201555609703
13,0.01589304767549038,0.016634371131658554,0.016634371131658554,0.01589304767549038
14,0.014223963022232056,0.01505849976092577,0.01505849976092577,0.014223963022232056
15,0.012757030315697193,0.013663966208696365,0.013663966208696365,0.012757030315697193
16,0.011498539708554745,0.012433929368853569,0.012433929368853569,0.011498539708554745
17,0.010455474257469177,0.011368175968527794,0.011368175968527794,0.010455474257469177
18,0.009524469263851643,0.010446389205753803,0.010446389205753803,0.009524469263851643
19,0.008708066307008266,0.009642515331506729,0.009642515331506729,0.008708066307008266
20,0.007995476014912128,0.008879994973540306,0.008879994973540306,0.007995476014912128
21,0.007366156205534935,0.008227033540606499,0.008227033540606499,0.007366156205534935
22,0.00679804990068078,0.007652740925550461,0.007652740925550461,0.00679804990068078
23,0.006354377139359713,0.007162856869399548,0.007162856869399548,0.006354377139359713
24,0.005938669666647911,0.0067121721804142,0.0067121721804142,0.005938669666647911
