,Modelled_0,Modelled_1,max,min
0,0.4396470785140991,0.4436947703361511,0.4436947703361511,0.4396470785140991
1,0.3814431428909302,0.37760549783706665,0.3814431428909302,0.37760549783706665
2,0.369636207818985,0.36748412251472473,0.369636207818985,0.36748412251472473
3,0.36366182565689087,0.3626706302165985,0.36366182565689087,0.3626706302165985
4,0.3598036468029022,0.3583630621433258,0.3598036468029022,0.3583630621433258
5,0.35690534114837646,,0.35690534114837646,0.35690534114837646
6,0.355530709028244,,0.355530709028244,0.355530709028244
7,0.35288041830062866,,0.35288041830062866,0.35288041830062866
8,0.351113885641098,,0.351113885641098,0.351113885641098
9,0.35011526942253113,,0.35011526942253113,0.35011526942253113
