,Modelled_0,Modelled_1,max,min
0,0.9516002535820007,0.9395655393600464,0.9516002535820007,0.9395655393600464
1,0.5478988289833069,0.5827257633209229,0.5827257633209229,0.5478988289833069
2,0.3654400408267975,0.35829484462738037,0.3654400408267975,0.35829484462738037
3,0.3282369375228882,0.32779738306999207,0.3282369375228882,0.32779738306999207
4,0.3161753714084625,0.3190222978591919,0.3190222978591919,0.3161753714084625
5,0.3123835623264313,0.3152066767215729,0.3152066767215729,0.3123835623264313
6,0.30835291743278503,0.3126288652420044,0.3126288652420044,0.30835291743278503
7,0.305800199508667,0.31029683351516724,0.31029683351516724,0.305800199508667
8,0.3034665286540985,0.30757173895835876,0.30757173895835876,0.3034665286540985
9,0.30164384841918945,0.30740007758140564,0.30740007758140564,0.30164384841918945
10,0.3008866608142853,0.3062589466571808,0.3062589466571808,0.3008866608142853
11,0.3007775545120239,0.3044763207435608,0.3044763207435608,0.3007775545120239
12,0.2985199987888336,0.3037300109863281,0.3037300109863281,0.2985199987888336
13,0.2978587746620178,0.30244407057762146,0.30244407057762146,0.2978587746620178
14,0.2973288297653198,0.3021732568740845,0.3021732568740845,0.2973288297653198
15,0.2955368757247925,0.300875723361969,0.300875723361969,0.2955368757247925
16,0.294979065656662,0.2994768023490906,0.2994768023490906,0.294979065656662
17,0.29476237297058105,0.29843613505363464,0.29843613505363464,0.29476237297058105
18,0.2945801317691803,0.29806455969810486,0.29806455969810486,0.2945801317691803
19,0.29313212633132935,0.2971498668193817,0.2971498668193817,0.29313212633132935
20,0.29407981038093567,0.29690226912498474,0.29690226912498474,0.29407981038093567
21,0.2931719422340393,0.2957797348499298,0.2957797348499298,0.2931719422340393
22,,0.2961447834968567,0.2961447834968567,0.2961447834968567
23,,0.2952728867530823,0.2952728867530823,0.2952728867530823
24,,0.29639866948127747,0.29639866948127747,0.29639866948127747
25,,0.2959589660167694,0.2959589660167694,0.2959589660167694
26,,0.29443594813346863,0.29443594813346863,0.29443594813346863
27,,0.29459431767463684,0.29459431767463684,0.29459431767463684
28,,0.2948404848575592,0.2948404848575592,0.2948404848575592
29,,0.29468053579330444,0.29468053579330444,0.29468053579330444
30,,0.2930639684200287,0.2930639684200287,0.2930639684200287
31,,0.2933556139469147,0.2933556139469147,0.2933556139469147
