,Modelled_0,Modelled_1,max,min
0,0.7270525693893433,0.9123308658599854,0.9123308658599854,0.7270525693893433
1,0.4559371769428253,0.5323386192321777,0.5323386192321777,0.4559371769428253
2,0.38360071182250977,0.4194892942905426,0.4194892942905426,0.38360071182250977
3,0.34850868582725525,0.3820912837982178,0.3820912837982178,0.34850868582725525
4,0.3274759352207184,0.3599845767021179,0.3599845767021179,0.3274759352207184
5,0.31252390146255493,0.34104177355766296,0.34104177355766296,0.31252390146255493
6,0.2989391088485718,0.3272373080253601,0.3272373080253601,0.2989391088485718
7,0.2889118194580078,0.31433531641960144,0.31433531641960144,0.2889118194580078
8,0.28086528182029724,0.30327245593070984,0.30327245593070984,0.28086528182029724
9,0.27331647276878357,0.295488178730011,0.295488178730011,0.27331647276878357
10,0.2682640254497528,0.285555899143219,0.285555899143219,0.2682640254497528
11,0.26153331995010376,0.281593382358551,0.281593382358551,0.26153331995010376
12,0.2585557997226715,0.274442583322525,0.274442583322525,0.2585557997226715
13,0.2530771791934967,0.2688058614730835,0.2688058614730835,0.2530771791934967
14,0.24990813434123993,0.2649705111980438,0.2649705111980438,0.24990813434123993
15,0.24802586436271667,0.2610534429550171,0.2610534429550171,0.24802586436271667
16,0.24443753063678741,0.2579711079597473,0.2579711079597473,0.24443753063678741
17,0.24286477267742157,0.25464051961898804,0.25464051961898804,0.24286477267742157
18,0.24016255140304565,0.2508275806903839,0.2508275806903839,0.24016255140304565
19,0.23855619132518768,0.24834370613098145,0.24834370613098145,0.23855619132518768
20,0.23704637587070465,0.245634064078331,0.245634064078331,0.23704637587070465
21,0.23582300543785095,0.2440532147884369,0.2440532147884369,0.23582300543785095
22,0.23477216064929962,0.2408992350101471,0.2408992350101471,0.23477216064929962
23,0.23300912976264954,0.23943209648132324,0.23943209648132324,0.23300912976264954
24,0.2321121245622635,0.2383890450000763,0.2383890450000763,0.2321121245622635
