,Modelled_0,Modelled_1,max,min
0,0.706922173500061,0.6465269923210144,0.706922173500061,0.6465269923210144
1,0.6156577467918396,0.5461302399635315,0.6156577467918396,0.5461302399635315
2,0.48698264360427856,0.43612393736839294,0.48698264360427856,0.43612393736839294
3,0.44834160804748535,0.41679269075393677,0.44834160804748535,0.41679269075393677
4,0.4393976330757141,0.4122258424758911,0.4393976330757141,0.4122258424758911
5,0.4366396963596344,0.4088360071182251,0.4366396963596344,0.4088360071182251
6,0.4354281425476074,0.40735042095184326,0.4354281425476074,0.40735042095184326
7,0.4336661100387573,0.4061780869960785,0.4336661100387573,0.4061780869960785
8,0.43226268887519836,0.40507712960243225,0.43226268887519836,0.40507712960243225
9,0.4311157763004303,,0.4311157763004303,0.4311157763004303
10,0.4311060905456543,,0.4311060905456543,0.4311060905456543
11,0.4295671284198761,,0.4295671284198761,0.4295671284198761
12,0.4297041893005371,,0.4297041893005371,0.4297041893005371
