,Modelled_0,Modelled_1,max,min
0,0.9365049004554749,1.0122039318084717,1.0122039318084717,0.9365049004554749
1,0.6406164765357971,0.6950227618217468,0.6950227618217468,0.6406164765357971
2,0.5644091367721558,0.5881931781768799,0.5881931781768799,0.5644091367721558
3,0.5365638732910156,0.5533580780029297,0.5533580780029297,0.5365638732910156
4,0.5158259868621826,0.5306587815284729,0.5306587815284729,0.5158259868621826
5,0.5016325116157532,0.5142472386360168,0.5142472386360168,0.5016325116157532
6,0.4885178506374359,0.49917858839035034,0.49917858839035034,0.4885178506374359
7,0.4777413010597229,0.48890137672424316,0.48890137672424316,0.4777413010597229
8,0.46963241696357727,0.4792286455631256,0.4792286455631256,0.46963241696357727
9,0.4616822898387909,0.4723954498767853,0.4723954498767853,0.4616822898387909
10,0.4558004140853882,0.46675726771354675,0.46675726771354675,0.4558004140853882
11,0.4520537853240967,0.4595090448856354,0.4595090448856354,0.4520537853240967
12,0.44777950644493103,0.45515206456184387,0.45515206456184387,0.44777950644493103
13,0.4445144832134247,0.45159363746643066,0.45159363746643066,0.4445144832134247
14,0.44043320417404175,0.4488765299320221,0.4488765299320221,0.44043320417404175
15,0.43583327531814575,0.44538506865501404,0.44538506865501404,0.43583327531814575
16,0.4347456991672516,0.4425005316734314,0.4425005316734314,0.4347456991672516
17,0.4331884980201721,0.4395799934864044,0.4395799934864044,0.4331884980201721
18,0.42969924211502075,0.4374513328075409,0.4374513328075409,0.42969924211502075
19,0.42774084210395813,0.4352242350578308,0.4352242350578308,0.42774084210395813
20,0.42730987071990967,0.43491658568382263,0.43491658568382263,0.42730987071990967
21,0.42494457960128784,0.4333377778530121,0.4333377778530121,0.42494457960128784
22,0.42308589816093445,0.4317517578601837,0.4317517578601837,0.42308589816093445
23,0.422646164894104,0.43094345927238464,0.43094345927238464,0.422646164894104
24,0.4210840165615082,0.4293350577354431,0.4293350577354431,0.4210840165615082
